player_id,player_name,team_id,team_name,age,games_played,runs,doubles,triples,home_runs,strikeouts,walks,hits,batting_average,at_bats,obp,slg,ops,stolen_bases,plate_appearances,total_bases,rbi
694388,Joey Loperfido,141,Toronto Blue Jays,26,41,12,4,0,4,27,4,32,0.333,96,0.379,0.5,0.879,1,104,48,14
694497,Evan Carter,140,Texas Rangers,22,63,31,9,2,5,41,19,48,0.247,194,0.336,0.392,0.728,14,220,76,25
694671,Wyatt Langford,140,Texas Rangers,23,134,73,25,1,22,151,74,118,0.241,489,0.344,0.431,0.775,22,573,211,62
694728,Brice Matthews,117,Houston Astros,23,13,6,0,0,4,20,2,7,0.167,42,0.222,0.452,0.674,1,47,19,9
695238,Will Wagner,135,San Diego Padres,26,55,15,7,0,0,28,17,29,0.225,129,0.324,0.279,0.603,1,149,36,7
695257,Billy Cook,134,Pittsburgh Pirates,26,3,1,0,0,0,1,0,2,0.333,6,0.333,0.333,0.666,0,6,2,0
695336,Thomas Saggese,138,St. Louis Cardinals,23,82,25,17,0,2,83,16,71,0.258,275,0.299,0.342,0.641,3,295,94,25
695391,Brett Harris,133,Athletics,27,32,11,5,0,0,21,7,20,0.274,73,0.349,0.342,0.691,1,84,25,5
695506,Jac Caglianone,118,Kansas City Royals,22,62,19,6,1,7,52,18,33,0.157,210,0.237,0.295,0.532,1,232,62,18
695578,James Wood,120,Washington Nationals,22,157,87,38,0,31,221,85,153,0.256,598,0.35,0.475,0.825,15,689,284,94
695600,Carter Jensen,118,Kansas City Royals,21,20,12,6,0,3,12,9,18,0.3,60,0.391,0.55,0.941,0,69,33,13
695657,Colson Montgomery,145,Chicago White Sox,23,71,43,9,1,21,83,25,61,0.239,255,0.311,0.529,0.84,0,284,135,55
695670,Harry Ford,136,Seattle Mariners,22,8,1,0,0,0,3,0,1,0.167,6,0.25,0.167,0.417,0,8,1,1
695681,Christian Moore,108,Los Angeles Angels,22,53,20,5,1,7,62,19,32,0.198,162,0.284,0.37,0.654,3,184,60,16
695734,Daylen Lile,120,Washington Nationals,22,91,51,15,11,9,56,21,96,0.299,321,0.347,0.498,0.845,8,351,160,41
696030,Alejandro Osuna,140,Texas Rangers,22,63,12,4,0,2,34,21,32,0.212,151,0.313,0.278,0.591,5,176,42,15
696100,Hunter Goodman,115,Colorado Rockies,25,144,73,28,5,31,152,33,150,0.278,540,0.323,0.52,0.843,1,579,281,91
696285,Jacob Young,120,Washington Nationals,25,120,34,10,1,2,65,27,75,0.231,324,0.296,0.287,0.583,15,364,93,31
699625,Jimmy Crooks,138,St. Louis Cardinals,23,15,3,0,1,1,17,0,6,0.133,45,0.152,0.244,0.396,0,46,11,1
700242,Trey Sweeney,116,Detroit Tigers,25,118,36,6,2,6,92,26,58,0.196,296,0.258,0.291,0.549,3,326,86,32
700246,Carson Williams,139,Tampa Bay Rays,22,32,11,3,0,5,44,6,17,0.172,99,0.219,0.354,0.573,2,106,35,12
700250,Ben Rice,147,New York Yankees,26,138,74,28,4,26,100,50,119,0.255,467,0.337,0.499,0.836,3,530,233,65
700337,Edgar Quero,145,Chicago White Sox,22,111,31,17,0,5,71,32,98,0.268,365,0.333,0.356,0.689,0,403,130,36
700932,Kyle Manzardo,114,Cleveland Guardians,24,142,47,19,2,27,135,48,110,0.234,470,0.313,0.455,0.768,2,531,214,70
701305,Zach Dezenzo,117,Houston Astros,25,34,17,6,0,2,37,11,24,0.245,98,0.321,0.367,0.688,1,109,36,10
701350,Roman Anthony,111,Boston Red Sox,21,71,48,18,1,8,84,40,75,0.292,257,0.396,0.463,0.859,4,303,119,32
701358,Cam Smith,117,Houston Astros,22,134,55,21,3,9,137,43,104,0.236,441,0.312,0.358,0.67,8,493,158,51
701398,Sal Stewart,113,Cincinnati Reds,21,18,11,1,0,5,15,3,14,0.255,55,0.293,0.545,0.838,0,58,30,8
701538,Jackson Merrill,135,San Diego Padres,22,115,59,25,6,16,108,33,116,0.264,440,0.317,0.457,0.774,1,483,201,67
701675,Nathan Church,138,St. Louis Cardinals,24,27,9,1,0,1,18,3,10,0.179,56,0.254,0.25,0.504,1,65,14,8
701762,Nick Kurtz,133,Athletics,22,117,90,26,2,36,151,63,122,0.29,420,0.383,0.619,1.002,2,489,260,86
702176,Alan Roden,142,Minnesota Twins,25,55,17,6,1,2,37,8,26,0.191,136,0.261,0.294,0.555,1,153,40,9
702284,Cole Young,136,Seattle Mariners,21,77,24,7,1,4,47,28,47,0.211,223,0.302,0.305,0.607,1,257,68,24
702332,Caleb Durbin,158,Milwaukee Brewers,25,136,60,25,0,11,50,30,114,0.256,445,0.334,0.387,0.721,18,506,172,53
702358,Trey Lipscomb,120,Washington Nationals,25,3,1,0,0,0,1,0,2,0.5,4,0.5,0.5,1.0,0,4,2,0
702616,Jackson Holliday,110,Baltimore Orioles,21,149,70,21,3,17,140,56,142,0.242,586,0.314,0.375,0.689,17,649,220,55
802415,Chandler Simpson,139,Tampa Bay Rays,24,109,53,15,3,0,43,20,122,0.295,414,0.326,0.345,0.671,44,441,143,26
804668,Rafael Flores,134,Pittsburgh Pirates,24,7,0,2,0,0,7,2,3,0.2,15,0.294,0.333,0.627,0,17,5,0
805249,Otto Kemp,143,Philadelphia Phillies,25,62,26,11,0,8,67,12,46,0.234,197,0.298,0.411,0.709,2,218,81,28
805299,Brandyn Garcia,109,Arizona Diamondbacks,25,12,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
805300,Jakob Marsee,146,Miami Marlins,24,55,28,18,3,5,48,22,61,0.292,209,0.363,0.478,0.841,14,234,100,33
805367,Chase Meidroth,145,Chicago White Sox,23,122,54,15,0,5,72,45,114,0.253,450,0.329,0.32,0.649,14,505,144,23
805373,Nacho Alvarez Jr.,144,Atlanta Braves,22,58,18,12,0,2,49,12,44,0.234,188,0.296,0.33,0.626,0,208,62,15
805779,Jacob Wilson,133,Athletics,23,125,62,26,0,13,39,27,151,0.311,486,0.355,0.444,0.799,5,523,216,63
805811,Bryce Eldridge,137,San Francisco Giants,20,10,1,2,0,0,13,7,3,0.107,28,0.297,0.179,0.476,0,37,5,4
805904,Zach Cole,117,Houston Astros,24,15,9,2,0,4,20,5,12,0.255,47,0.327,0.553,0.88,3,52,26,11
806185,Hayden Birdsong,137,San Francisco Giants,23,21,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
807712,Luke Keaschall,142,Minnesota Twins,22,49,25,14,0,4,29,19,55,0.302,182,0.382,0.445,0.827,14,207,81,28
807713,Matt Shaw,112,Chicago Cubs,23,126,57,21,3,13,94,38,89,0.226,393,0.295,0.394,0.689,17,437,155,44
807799,Masataka Yoshida,111,Boston Red Sox,31,55,16,11,0,4,24,10,50,0.266,188,0.307,0.388,0.695,3,205,73,26
808975,Hyeseong Kim,119,Los Angeles Dodgers,26,71,19,6,1,3,52,7,45,0.28,161,0.314,0.385,0.699,13,170,62,17
808982,Jung Hoo Lee,137,San Francisco Giants,26,150,73,31,12,8,71,47,149,0.266,560,0.327,0.407,0.734,10,617,228,55
810938,Ben Williamson,136,Seattle Mariners,24,85,36,13,0,1,64,15,70,0.253,277,0.294,0.31,0.604,5,295,86,21
829272,Shinnosuke Ogasawara,120,Washington Nationals,27,23,0,0,0,0,1,0,0,0.0,1,0.0,0.0,0.0,0,1,0,0
