player_id,player_name,team_id,team_name,age_hit,gamesPlayed_hit,groundOuts_hit,airOuts_hit,runs_hit,doubles_hit,triples_hit,homeRuns_hit,strikeOuts_hit,baseOnBalls_hit,intentionalWalks_hit,hits_hit,hitByPitch_hit,avg_hit,atBats_hit,obp_hit,slg_hit,ops_hit,caughtStealing_hit,stolenBases_hit,stolenBasePercentage_hit,caughtStealingPercentage_hit,groundIntoDoublePlay_hit,numberOfPitches_hit,plateAppearances,totalBases_hit,rbi,leftOnBase,sacBunts_hit,sacFlies_hit,babip,groundOutsToAirouts_hit,catchersInterference_hit,atBatsPerHomeRun,age_pitch,gamesPlayed_pitch,gamesStarted,groundOuts_pitch,airOuts_pitch,runs_pitch,doubles_pitch,triples_pitch,homeRuns_pitch,strikeOuts_pitch,baseOnBalls_pitch,intentionalWalks_pitch,hits_pitch,hitByPitch_pitch,avg_pitch,atBats_pitch,obp_pitch,slg_pitch,ops_pitch,caughtStealing_pitch,stolenBases_pitch,stolenBasePercentage_pitch,caughtStealingPercentage_pitch,groundIntoDoublePlay_pitch,numberOfPitches_pitch,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases_pitch,groundOutsToAirouts_pitch,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference_pitch,sacBunts_pitch,sacFlies_pitch
682515,Logan Porter,137,San Francisco Giants,29.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,.143,7.0,.333,.143,.476,0.0,0.0,.---,.---,0.0,34.0,9.0,1.0,1.0,8.0,0.0,0.0,.200,1.00,0.0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682622,Noelvi Marte,113,Cincinnati Reds,23.0,90.0,87.0,80.0,45.0,17.0,2.0,14.0,85.0,16.0,0.0,89.0,3.0,.263,339.0,.300,.448,.748,3.0,10.0,.769,.231,7.0,1267.0,360.0,152.0,51.0,159.0,0.0,2.0,.310,1.09,0.0,24.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682626,Francisco Alvarez,121,New York Mets,23.0,76.0,61.0,49.0,32.0,12.0,1.0,11.0,73.0,27.0,0.0,63.0,4.0,.256,246.0,.339,.447,.786,0.0,0.0,.---,.---,6.0,1123.0,277.0,110.0,32.0,105.0,0.0,0.0,.321,1.24,0.0,22.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682634,Kevin Alcántara,112,Chicago Cubs,22.0,10.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,.364,11.0,.417,.364,.781,0.0,1.0,1.000,.000,0.0,46.0,12.0,4.0,1.0,7.0,0.0,0.0,.571,2.00,0.0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682641,Luis Matos,137,San Francisco Giants,23.0,57.0,53.0,55.0,26.0,9.0,1.0,8.0,27.0,11.0,0.0,38.0,0.0,.221,172.0,.266,.424,.690,0.0,4.0,1.000,.000,5.0,687.0,184.0,73.0,22.0,75.0,0.0,1.0,.217,0.96,0.0,21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682653,Warming Bernabel,115,Colorado Rockies,23.0,40.0,34.0,45.0,15.0,8.0,1.0,4.0,25.0,7.0,0.0,35.0,0.0,.252,139.0,.288,.410,.698,1.0,1.0,.500,.500,2.0,520.0,146.0,57.0,14.0,57.0,0.0,0.0,.282,0.76,0.0,34.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682657,Angel Martínez,114,Cleveland Guardians,23.0,139.0,100.0,145.0,56.0,23.0,2.0,11.0,110.0,23.0,0.0,100.0,6.0,.224,446.0,.269,.359,.628,2.0,8.0,.800,.200,8.0,1797.0,484.0,160.0,45.0,174.0,5.0,4.0,.271,0.69,0.0,40.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682663,Agustín Ramírez,146,Miami Marlins,23.0,136.0,161.0,143.0,72.0,33.0,1.0,21.0,113.0,36.0,2.0,124.0,8.0,.231,537.0,.287,.413,.700,3.0,16.0,.842,.158,13.0,2122.0,585.0,222.0,67.0,217.0,0.0,4.0,.253,1.13,0.0,25.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682668,Luisangel Acuña,121,New York Mets,23.0,95.0,58.0,42.0,30.0,7.0,0.0,0.0,37.0,13.0,0.0,41.0,2.0,.234,175.0,.293,.274,.567,1.0,16.0,.941,.059,6.0,687.0,193.0,48.0,8.0,89.0,2.0,1.0,.295,1.38,0.0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682729,Jonatan Clase,141,Toronto Blue Jays,23.0,34.0,24.0,28.0,10.0,3.0,0.0,2.0,28.0,10.0,0.0,21.0,1.0,.210,100.0,.288,.300,.588,1.0,3.0,.750,.250,1.0,439.0,112.0,30.0,9.0,43.0,1.0,0.0,.271,0.86,0.0,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682829,Elly De La Cruz,113,Cincinnati Reds,23.0,162.0,166.0,117.0,102.0,31.0,7.0,22.0,181.0,67.0,10.0,166.0,2.0,.264,629.0,.336,.440,.776,8.0,37.0,.822,.178,14.0,2678.0,699.0,277.0,86.0,272.0,0.0,1.0,.337,1.42,0.0,28.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682848,Endy Rodríguez,134,Pittsburgh Pirates,25.0,18.0,11.0,18.0,5.0,4.0,0.0,0.0,14.0,5.0,0.0,9.0,0.0,.173,52.0,.246,.250,.496,1.0,0.0,.000,1.000,0.0,205.0,57.0,13.0,2.0,24.0,0.0,0.0,.237,0.61,0.0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682868,Bryan Ramos,145,Chicago White Sox,23.0,4.0,3.0,3.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,.167,12.0,.167,.333,.500,0.0,0.0,.---,.---,0.0,39.0,12.0,4.0,2.0,5.0,0.0,0.0,.250,1.00,0.0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682927,Ronny Simon,134,Pittsburgh Pirates,25.0,27.0,23.0,24.0,10.0,3.0,0.0,0.0,15.0,8.0,0.0,18.0,0.0,.234,77.0,.299,.273,.572,0.0,1.0,1.000,.000,1.0,345.0,88.0,21.0,7.0,37.0,1.0,2.0,.281,0.96,0.0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682928,CJ Abrams,120,Washington Nationals,24.0,144.0,141.0,169.0,92.0,35.0,5.0,19.0,125.0,37.0,1.0,149.0,14.0,.257,580.0,.315,.433,.748,3.0,31.0,.912,.088,5.0,2320.0,635.0,251.0,60.0,191.0,1.0,3.0,.296,0.83,0.0,30.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682985,Riley Greene,116,Detroit Tigers,24.0,157.0,118.0,131.0,84.0,31.0,1.0,36.0,201.0,46.0,1.0,155.0,4.0,.258,600.0,.313,.493,.806,1.0,2.0,.667,.333,14.0,2706.0,655.0,296.0,111.0,285.0,0.0,5.0,.323,0.90,0.0,16.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
